No,Tahun,Monthly,"Tinggi Gelombang",Periode,YL-t-Yt,At,Tt,St-L,St,Forecast,,Da-Df,|Da-Df|,(Da-Df)^2,|(Da-Df)/Da|
1,2013,Januari,0.13,1,0.1,,,,0.044166666666667,,,,,,
2,2013,Februari,0.14,2,0.09,,,,0.054166666666667,,,,,,
3,2013,Maret,0.21,3,0.01,,,,0.12416666666667,,,,,,
4,2013,April,0.24,4,0.13,,,,0.15416666666667,,,,,,
5,2013,Mei,0.22,5,0.24,,,,0.13416666666667,,,,,,
6,2013,Juni,0.38,6,0.16,,,,0.29416666666667,,,,,,
7,2013,Juli,0.25,7,0.14,,,,0.16416666666667,,,,,,
8,2013,Agustus,0.21,8,0.01,,,,0.12416666666667,,,,,,
9,2013,September,0.21,9,0.05,,,,0.12416666666667,,,,,,
10,2013,Oktober,0.23,10,0.03,,,,0.14416666666667,,,,,,
11,2013,November,0.19,11,0.01,,,,0.10416666666667,,,,,,
12,2013,Desember,0.20,12,0.06,0.085833333333333,0.0071527777777778,,0.11416666666667,,,,,,
13,2014,Januari,0.23,13,,0.093914583333333,0.0071620625,0.044166666666667,0.053358541666667,0.13715277777778,,0.092847222222222,0.092847222222222,0.0086206066743827,0.40368357487923
14,2014,Februari,0.23,14,,0.10182421270833,0.00716953816875,0.054166666666667,0.061567578729167,0.1552433125,,0.0747566875,0.0747566875,0.0055885623259727,0.32502907608696
15,2014,Maret,0.22,15,,0.10886214670165,0.0071682221269956,0.12416666666667,0.12286378532984,0.23316041754375,,-0.01316041754375,0.01316041754375,0.00017319658992584,0.059820079744318
16,2014,April,0.37,16,,0.11702839847369,0.0071782024234461,0.15416666666667,0.16404716015263,0.27019703549531,,0.099802964504692,0.099802964504692,0.0099606317239248,0.26973774190457
17,2014,Mei,0.46,17,,0.1262228682215,0.0071983650966897,0.13416666666667,0.15412771317785,0.2583732675638,,0.2016267324362,0.2016267324362,0.040653339232899,0.43831898355695
18,2014,Juni,0.54,18,,0.13454535431834,0.0072096063066912,0.29416666666667,0.30529546456817,0.42758789998485,,0.11241210001515,0.11241210001515,0.012636480229815,0.20817055558361
19,2014,Juli,0.39,19,,0.14259574435211,0.0072180141439621,0.16416666666667,0.17249042556479,0.3059216272917,,0.084078372708304,0.084078372708304,0.0070691727572766,0.21558557104693
20,2014,Agustus,0.22,20,,0.14927395424445,0.0072126161014458,0.12416666666667,0.11882260457556,0.27398042516274,,-0.053980425162741,0.053980425162741,0.0029138863007502,0.24536556892155
21,2014,September,0.26,21,,0.15628003797577,0.0072105507777445,0.12416666666667,0.12212199620242,0.28065323701256,,-0.020653237012559,0.020653237012559,0.00042655619909694,0.079435526971381
22,2014,Oktober,0.26,22,,0.16301401619931,0.0072057850522025,0.14416666666667,0.13944859838007,0.30765725542018,,-0.047657255420178,0.047657255420178,0.0022712139941841,0.18329713623145
23,2014,November,0.20,23,,0.16947593657233,0.0071983464054107,0.10416666666667,0.096802406342767,0.27438646791818,,-0.074386467918179,0.074386467918179,0.0055333466093422,0.37193233959089
24,2014,Desember,0.26,24,,0.1763658734813,0.0071952623104463,0.11416666666667,0.11111341265187,0.29084094964441,,-0.030840949644408,0.030840949644408,0.00095116417496888,0.11861903709388
25,2015,Januari,0.45,25,,0.18569193901716,0.0072165703427004,0.053358541666667,0.074453493598284,0.23691967745841,,0.21308032254159,0.21308032254159,0.045403223854428,0.4735118278702
26,2015,Februari,0.33,26,,0.19366374847897,0.0072241227338915,0.061567578729167,0.069044446008353,0.25447608808903,,0.075523911910974,0.075523911910974,0.0057038612703365,0.22886033912416
27,2015,Maret,0.21,27,,0.19975035464743,0.0072127475682372,0.12286378532984,0.11160237133211,0.3237516565427,,-0.1137516565427,0.1137516565427,0.012939439366208,0.54167455496522
28,2015,April,0.20,28,,0.20525299959199,0.0071956465420004,0.16404716015263,0.14711714417817,0.3710102623683,,-0.1710102623683,0.1710102623683,0.029244509835276,0.85505131184151
29,2015,Mei,0.19,29,,0.21068288254087,0.0071779889060692,0.15412771317785,0.13664665360598,0.36657635931184,,-0.17657635931184,0.17657635931184,0.031179210667824,0.92934925953599
30,2015,Juni,0.19,30,,0.21452930808679,0.0071446732724677,0.30529546456817,0.27231298730267,0.52315633601511,,-0.33315633601511,0.33315633601511,0.11099314422701,1.7534544000795
31,2015,Juli,0.20,31,,0.21973233729002,0.0071252568317753,0.17249042556479,0.15326814927931,0.39416440692404,,-0.19416440692404,0.19416440692404,0.037699816916166,0.97082203462022
32,2015,Agustus,0.23,32,,0.22570079213482,0.0071136888119056,0.11882260457556,0.10737026490452,0.34568019869735,,-0.11568019869735,0.11568019869735,0.013381908370657,0.50295738564063
33,2015,September,0.27,33,,0.23196511617523,0.0071051951641907,0.12212199620242,0.11371328496466,0.35493647714915,,-0.084936477149146,0.084936477149146,0.0072142051505074,0.31457954499684
34,2015,Oktober,0.27,34,,0.23798512224223,0.0070943432732187,0.13944859838007,0.12870522631784,0.37851890971949,,-0.10851890971949,0.10851890971949,0.011776353766707,0.40192188784997
35,2015,November,0.19,35,,0.24356064679686,0.0070791550860329,0.096802406342767,0.081766101028804,0.34188187185821,,-0.15188187185821,0.15188187185821,0.023068102999155,0.79937827293796
36,2015,Desember,0.21,36,,0.24912226973755,0.0070639797645794,0.11111341265187,0.096089844412928,0.36175321453477,,-0.15175321453477,0.15175321453477,0.023029038121635,0.72263435492746
37,2016,Januari,0.11,37,,0.25397985207112,0.0070419157902694,0.074453493598284,0.052610159031343,0.33063974310041,,-0.22063974310041,0.22063974310041,0.048681896235416,2.0058158463674
38,2016,Februari,0.29,38,,0.2606211057227,0.0070379091688824,0.069044446008353,0.065077890835248,0.33006621386975,,-0.040066213869747,0.040066213869747,0.0016053014938563,0.13815935817154
39,2016,Maret,0.14,39,,0.26526640102934,0.00701398303026,0.11160237133211,0.087915494095963,0.37926138622369,,-0.23926138622369,0.23926138622369,0.05724601093768,1.7090099015978
40,2016,April,0.09,40,,0.26898640877722,0.0069810432774363,0.14711714417817,0.11450678888263,0.41939752823777,,-0.32939752823777,0.32939752823777,0.10850273160915,3.6599725359752
41,2016,Mei,0.12,41,,0.27304131099805,0.0069517818668702,0.13664665360598,0.10767785714558,0.41261410566064,,-0.29261410566064,0.29261410566064,0.085623014831575,2.4384508805053
42,2016,Juni,0.15,42,,0.27597003206325,0.0069115512588534,0.27231298730267,0.23248468536608,0.55230608016759,,-0.40230608016759,0.40230608016759,0.16185018213982,2.6820405344506
43,2016,Juli,0.23,43,,0.28082008599609,0.0068909362855933,0.15326814927931,0.13285932575177,0.43614973260141,,-0.20614973260141,0.20614973260141,0.042497712251633,0.89630318522352
44,2016,Agustus,0.15,44,,0.28526020940982,0.0068664281568747,0.10737026490452,0.083107217473084,0.3950812871862,,-0.2450812871862,0.2450812871862,0.060064837328844,1.633875247908
45,2016,September,0.13,45,,0.28936823834138,0.0068388441646215,0.11371328496466,0.086405132634054,0.40583992253135,,-0.27583992253135,0.27583992253135,0.076087662862102,2.1218455579335
46,2016,Oktober,0.14,46,,0.29335795941776,0.0068103529337391,0.12870522631784,0.10049890774428,0.42491230882384,,-0.28491230882384,0.28491230882384,0.081175023719332,2.0350879201703
47,2016,November,0.08,47,,0.2971489682177,0.0067801594924011,0.081766101028804,0.051874594104154,0.38193441338031,,-0.30193441338031,0.30193441338031,0.09116438998331,3.7741801672538
48,2016,Desember,0.38,48,,0.30372893798887,0.0067781575951888,0.096089844412928,0.094107966172749,0.40001897212303,,-0.020018972123029,0.020018972123029,0.0004007592448626,0.052681505586917
49,2017,Januari,0.28,49,,0.3096759230379,0.0067698458697273,0.052610159031343,0.044381550824418,0.3631172546154,,-0.083117254615402,0.083117254615402,0.0069084780148016,0.29684733791215
50,2017,Februari,0.48,50,,0.3174305323102,0.006779693503753,0.065077890835248,0.074827048520703,0.38152365974288,,0.09847634025712,0.09847634025712,0.0096975895904361,0.20515904220233
51,2017,Maret,0.20,51,,0.32208896861486,0.006758480931762,0.087915494095963,0.066915047824881,0.41212571990992,,-0.21212571990992,0.21212571990992,0.044997321047302,1.0606285995496
52,2017,April,0.20,52,,0.32641390716233,0.0067341455079191,0.11450678888263,0.090414719278134,0.44335423842925,,-0.24335423842925,0.24335423842925,0.05922128536148,1.2167711921462
53,2017,Mei,0.20,53,,0.33073979357209,0.0067100629169375,0.10767785714558,0.083836092073809,0.44082590981582,,-0.24082590981582,0.24082590981582,0.057997118838618,1.2041295490791
54,2017,Juni,0.47,54,,0.33645051107047,0.006700069462752,0.23248468536608,0.22259116572242,0.5699345418551,,-0.099934541855104,0.099934541855104,0.0099869126557895,0.21262668479809
55,2017,Juli,0.28,55,,0.34119048147038,0.0066804684721235,0.13285932575177,0.11345434502955,0.47600990628499,,-0.19600990628499,0.19600990628499,0.038419883361852,0.70003537958927
56,2017,Agustus,0.22,56,,0.34576116826834,0.0066593706553819,0.083107217473084,0.062220378898942,0.43097816741558,,-0.21097816741558,0.21097816741558,0.044511787126038,0.95899167007083
57,2017,September,0.45,57,,0.35253228220815,0.0066604880882261,0.086405132634054,0.087511391149834,0.43882567155778,,0.011174328442221,0.011174328442221,0.00012486561613462,0.024831840982712
58,2017,Oktober,0.16,58,,0.35619585351597,0.0066305189204221,0.10049890774428,0.070829431618255,0.45969167804065,,-0.29969167804065,0.29969167804065,0.089815101886822,1.8730729877541
59,2017,November,0.20,59,,0.36067936277098,0.006609048823768,0.051874594104154,0.03061919841664,0.41470096654054,,-0.21470096654054,0.21470096654054,0.046096505033443,1.0735048327027
60,2017,Desember,0.42,60,,0.36687444781708,0.0066049091859913,0.094107966172749,0.090009724773766,0.4613963777675,,-0.0413963777675,0.0413963777675,0.0017136600922696,0.098562804208334
61,2018,Januari,0.46,61,,0.37390074792479,0.0066091230952085,0.044381550824418,0.048553320949497,0.41786090782749,,0.042139092172513,0.042139092172513,0.0017757030891236,0.09160672211416
62,2018,Februari,0.56,62,,0.38155650182459,0.0066195894032545,0.074827048520703,0.085188693486173,0.4553369195407,,0.1046630804593,0.1046630804593,0.010954360411229,0.18689835796303
63,2018,Maret,0.16,63,,0.38522517983732,0.0065900802893492,0.066915047824881,0.037701025058661,0.45509113905273,,-0.29509113905273,0.29509113905273,0.087078780347438,1.8443196190796
64,2018,April,0.15,64,,0.38849296033262,0.0065568572914087,0.090414719278134,0.057523951317059,0.48222997940481,,-0.33222997940481,0.33222997940481,0.11037675921532,2.2148665293654
65,2018,Mei,0.15,65,,0.39176095852705,0.0065239687004389,0.083836092073809,0.051276387013723,0.47888590969784,,-0.32888590969784,0.32888590969784,0.10816594159778,2.1925727313189
66,2018,Juni,0.21,66,,0.39417616629799,0.0064828810911439,0.22259116572242,0.18191443252038,0.62087609294992,,-0.41087609294992,0.41087609294992,0.16881916375779,1.956552823571
67,2018,Juli,0.22,67,,0.39771791346495,0.0064534697519021,0.11345434502955,0.084337119180104,0.51411339241869,,-0.29411339241869,0.29411339241869,0.086502687600031,1.3368790564486
68,2018,Agustus,0.16,68,,0.40110746559569,0.0064228305756905,0.062220378898942,0.031887594449478,0.46639176211579,,-0.30639176211579,0.30639176211579,0.093875911892421,1.9149485132237
69,2018,September,0.10,69,,0.40357987929817,0.0063833264069584,0.087511391149834,0.048402264105033,0.49504168732122,,-0.39504168732122,0.39504168732122,0.1560579347216,3.9504168732122
70,2018,Oktober,0.11,70,,0.4062552793319,0.006346247143226,0.070829431618255,0.034120960523239,0.48079263732339,,-0.37079263732339,0.37079263732339,0.13748717989323,3.3708421574853
71,2018,November,0.06,71,,0.40876931922621,0.0063079250707368,0.03061919841664,-0.0073196533476447,0.44322072489176,,-0.38322072489176,0.38322072489176,0.14685812398657,6.3870120815294
72,2018,Desember,0.03,72,,0.41032637460624,0.0062604163738298,0.090009724773766,0.042976114835766,0.50508696907071,,-0.47508696907071,0.47508696907071,0.22570762818079,15.836232302357
73,2019,Januari,0.28,73,,0.41473538986077,0.0062419023626368,0.048553320949497,0.030224449868471,0.46514011192956,,-0.18514011192956,0.18514011192956,0.034276861045291,0.66121468546272
74,2019,Februari,0.42,74,,0.42011563236631,0.0062332857640659,0.085188693486173,0.076658260900925,0.50616598570958,,-0.086165985709579,0.086165985709579,0.0074245770933034,0.20515710883233
75,2019,Maret,0.19,75,,0.42360841869849,0.0062058807697469,0.037701025058661,0.010570080682946,0.46404994318904,,-0.27404994318904,0.27404994318904,0.075103371361914,1.4423681220476
76,2019,April,0.06,76,,0.42554091696038,0.0061631469446684,0.057523951317059,0.015217464489315,0.48733825078529,,-0.42733825078529,0.42733825078529,0.18261798058423,7.1223041797549
77,2019,Mei,0.12,77,,0.42807425939586,0.0061268488995765,0.051276387013723,0.015341322372764,0.48298045091877,,-0.36298045091877,0.36298045091877,0.13175480774919,3.0248370909898
78,2019,Juni,0.22,78,,0.43023995288728,0.006087237345495,0.18191443252038,0.14269899397962,0.61611554081582,,-0.39611554081582,0.39611554081582,0.15690752167581,1.8005251855265
79,2019,Juli,0.17,79,,0.43282054713864,0.0060521709145537,0.084337119180104,0.049621352548229,0.52066430941288,,-0.35066430941288,0.35066430941288,0.12296545789601,2.0627312318405
80,2019,Agustus,0.17,80,,0.43586511492817,0.0060220948833034,0.031887594449478,0.0021123235117131,0.47076031250268,,-0.30076031250268,0.30076031250268,0.090456765576708,1.7691783088393
81,2019,September,0.15,81,,0.43848431507231,0.0059880659359118,0.048402264105033,0.014713606187299,0.49028947391651,,-0.34028947391651,0.34028947391651,0.11579692605837,2.2685964927767
82,2019,Oktober,0.12,82,,0.44088644759291,0.0059522066017586,0.034120960523239,-0.0013797802883752,0.47859334153146,,-0.35859334153146,0.35859334153146,0.1285891845907,2.9882778460955
83,2019,November,0.05,83,,0.4429434641862,0.0059132547016739,-0.0073196533476447,-0.0458820344315,0.43951900084702,,-0.38951900084702,0.38951900084702,0.15172505202086,7.7903800169404
84,2019,Desember,0.11,84,,0.44503839055063,0.0058750714183015,0.042976114835766,0.005174664297126,0.49183283372364,,-0.38183283372364,0.38183283372364,0.14579631290942,3.4712075793058
85,2020,Januari,,85,,,,0.030224449868471,,0.48113791183741,,Total,3.8534495552822,1.3434148185618,34.606777848412
86,2020,Februari,,86,,,,0.076658260900925,,0.53344679428816,,,,,
87,2020,Maret,,87,,,,0.010570080682946,,0.47323368548848,,,,,
88,2020,April,,88,,,,0.015217464489315,,0.48375614071315,,,,,
89,2020,Mei,,89,,,,0.015341322372764,,0.48975507001491,,,,,
90,2020,Juni,,90,,,,0.14269899397962,,0.62298781304006,,,,,
91,2020,Juli,,91,,,,0.049621352548229,,0.53578524302697,,,,,
92,2020,Agustus,,92,,,,0.0021123235117131,,0.49415128540876,,,,,
93,2020,September,,93,,,,0.014713606187299,,0.51262763950265,,,,,
94,2020,Oktober,,94,,,,-0.0013797802883752,,0.50240932444527,,,,,
95,2020,November,,95,,,,-0.0458820344315,,0.46378214172045,,,,,
