tanggal;tinggi_gelombang
2013-01-01;0,1
2013-01-02;0,089166667
2013-01-03;0,0475
2013-01-04;0,137083333
2013-01-05;0,146666667
2013-01-06;0,0475
2013-01-07;0,185
2013-01-08;0,147916667
2013-01-09;0,11125
2013-01-10;0,0475
2013-01-11;0,094583333
2013-01-12;0,131666667
2013-01-13;0,2625
2013-01-14;0,232825133
2013-01-15;0,232825133
2013-01-16;0,232825133
2013-01-17;0,232825133
2013-01-18;0,156521739
2013-01-19;0,1375
2013-01-20;0,155833333
2013-01-21;0,110833333
2013-01-22;0,055416667
2013-01-23;0,1075
2013-01-24;0,27625
2013-01-25;0,206666667
2013-01-26;0,052083333
2013-01-27;0,025
2013-01-28;0,025
2013-01-29;0,1875
2013-01-30;0,229166667
2013-01-31;0,295833333
2013-02-01;0,2
2013-02-02;0,2
2013-02-03;0,125
2013-02-04;0,1
2013-02-05;0,1
2013-02-06;0,0625
2013-02-07;0,016666667
2013-02-08;0,105833333
2013-02-09;0,105833333
2013-02-10;0,105833333
2013-02-11;0,105833333
2013-02-12;0,105833333
2013-02-13;0,091666667
2013-02-14;0,11625
2013-02-15;0,175
2013-02-16;0,218333333
2013-02-17;0,172916667
2013-02-18;0,213333333
2013-02-19;0,250833333
2013-02-20;0,211666667
2013-02-21;0,113333333
2013-02-22;0,213333333
2013-02-23;0,213333333
2013-02-24;0,279166667
2013-02-25;0,204166667
2013-02-26;0,172916667
2013-02-27;0,213333333
2013-02-28;0,213333333
2013-03-01;0,204166667
2013-03-02;0,279166667
2013-03-03;0,172916667
2013-03-04;0,213333333
2013-03-05;0,262083333
2013-03-06;0,213333333
2013-03-07;0,19875
2013-03-08;0,279166667
2013-03-09;0,262083333
2013-03-10;0,19875
2013-03-11;0,245833333
2013-03-12;0,2725
2013-03-13;0,262083333
2013-03-14;0,268333333
2013-03-15;0,125
2013-03-16;0,294166667
2013-03-17;0,1
2013-03-18;0,1
2013-03-19;0,1525
2013-03-20;0,268333333
2013-03-21;0,294166667
2013-03-22;0,262083333
2013-03-23;0,283333333
2013-03-24;0,294166667
2013-03-25;0,036666667
2013-03-26;0,063333333
2013-03-27;0,031666667
2013-03-28;0,262083333
2013-03-29;0,19875
2013-03-30;0,245833333
2013-03-31;0,2725
2013-04-01;0,262083333
2013-04-02;0,204166667
2013-04-03;0,279166667
2013-04-04;0,172916667
2013-04-05;0,213333333
2013-04-06;0,262083333
2013-04-07;0,213333333
2013-04-08;0,19875
2013-04-09;0,279166667
2013-04-10;0,19875
2013-04-11;0,245833333
2013-04-12;1
2013-04-13;0,186666667
2013-04-14;0,253333333
2013-04-15;0,174583333
2013-04-16;0,174583333
2013-04-17;0,2125
2013-04-18;0,245833333
