tanggal;tinggi_gelombang
01/01/2013;0,1
02/01/2013;0,089166667
03/01/2013;0,0475
04/01/2013;0,137083333
05/01/2013;0,146666667
06/01/2013;0,0475
07/01/2013;0,185
08/01/2013;0,147916667
09/01/2013;0,11125
10/01/2013;0,0475
11/01/2013;0,094583333
12/01/2013;0,131666667
13/01/2013;0,2625
14/01/2013;0,232825133
15/01/2013;0,232825133
16/01/2013;0,232825133
17/01/2013;0,232825133
18/01/2013;0,156521739
19/01/2013;0,1375
20/01/2013;0,155833333
21/01/2013;0,110833333
22/01/2013;0,055416667
23/01/2013;0,1075
24/01/2013;0,27625
25/01/2013;0,206666667
26/01/2013;0,052083333
27/01/2013;0,025
28/01/2013;0,025
29/01/2013;0,1875
30/01/2013;0,229166667
31/01/2013;0,295833333
01/02/2013;0,2
02/02/2013;0,2
03/02/2013;0,125
04/02/2013;0,1
05/02/2013;0,1
06/02/2013;0,0625
07/02/2013;0,016666667
08/02/2013;0,105833333
09/02/2013;0,105833333
10/02/2013;0,105833333
11/02/2013;0,105833333
12/02/2013;0,105833333
13/02/2013;0,091666667
14/02/2013;0,11625
15/02/2013;0,175
16/02/2013;0,218333333
17/02/2013;0,172916667
18/02/2013;0,213333333
19/02/2013;0,250833333
20/02/2013;0,211666667
21/02/2013;0,113333333
22/02/2013;0,213333333
23/02/2013;0,213333333
24/02/2013;0,279166667
25/02/2013;0,204166667
26/02/2013;0,172916667
27/02/2013;0,213333333
28/02/2013;0,213333333
01/03/2013;0,204166667
02/03/2013;0,279166667
03/03/2013;0,172916667
04/03/2013;0,213333333
05/03/2013;0,262083333
06/03/2013;0,213333333
07/03/2013;0,19875
08/03/2013;0,279166667
09/03/2013;0,262083333
10/03/2013;0,19875
11/03/2013;0,245833333
12/03/2013;0,2725
13/03/2013;0,262083333
14/03/2013;0,268333333
15/03/2013;0,125
16/03/2013;0,294166667
17/03/2013;0,1
18/03/2013;0,1
19/03/2013;0,1525
20/03/2013;0,268333333
21/03/2013;0,294166667
22/03/2013;0,262083333
23/03/2013;0,283333333
24/03/2013;0,294166667
25/03/2013;0,036666667
26/03/2013;0,063333333
27/03/2013;0,031666667
28/03/2013;0,262083333
29/03/2013;0,19875
30/03/2013;0,245833333
31/03/2013;0,2725
01/04/2013;0,262083333
02/04/2013;0,204166667
03/04/2013;0,279166667
04/04/2013;0,172916667
05/04/2013;0,213333333
06/04/2013;0,262083333
07/04/2013;0,213333333
08/04/2013;0,19875
09/04/2013;0,279166667
10/04/2013;0,19875
11/04/2013;0,245833333
12/04/2013;1
13/04/2013;0,186666667
14/04/2013;0,253333333
15/04/2013;0,174583333
16/04/2013;0,174583333
17/04/2013;0,2125
18/04/2013;0,245833333
19/04/2013;0,052083333
20/04/2013;0,5
21/04/2013;0,2
