tanggal;tinggi_gelombang;
01/01/2013;0,1;
02/01/2013;0,0892;
03/01/2013;0,0475;
04/01/2013;0,1371;
05/01/2013;0,1467;
06/01/2013;0,0475;
07/01/2013;0,185;
08/01/2013;0,1479;
09/01/2013;0,1113;
10/01/2013;0,0475;
11/01/2013;0,0946;
12/01/2013;0,1317;
13/01/2013;0,2625;
14/01/2013;0,2328;
15/01/2013;0,2328;
16/01/2013;0,2328;
17/01/2013;0,2328;
18/01/2013;0,1565;
19/01/2013;0,1375;
20/01/2013;0,1558;
21/01/2013;0,1108;
22/01/2013;0,0554;
23/01/2013;0,1075;
24/01/2013;0,2763;
25/01/2013;0,2067;
26/01/2013;0,0521;
27/01/2013;0,025;
28/01/2013;0,025;
29/01/2013;0,1875;
30/01/2013;0,2292;
31/01/2013;0,2958;
01/02/2013;0,2;
02/02/2013;0,2;
03/02/2013;0,125;
04/02/2013;0,1;
05/02/2013;0,1;
06/02/2013;0,0625;
07/02/2013;0,0167;
08/02/2013;0,1058;
09/02/2013;0,1058;
10/02/2013;0,1058;
11/02/2013;0,1058;
12/02/2013;0,1058;
13/02/2013;0,0917;
14/02/2013;0,1163;
15/02/2013;0,175;
16/02/2013;0,2183;
17/02/2013;0,1729;
18/02/2013;0,2133;
19/02/2013;0,2508;
20/02/2013;0,2117;
21/02/2013;0,1133;
22/02/2013;0,2133;
23/02/2013;0,2133;
24/02/2013;0,2792;
25/02/2013;0,2042;
26/02/2013;0,1729;
27/02/2013;0,2133;
28/02/2013;0,2133;
01/03/2013;0,2042;
02/03/2013;0,2792;
03/03/2013;0,1729;
04/03/2013;0,2133;
05/03/2013;0,2621;
06/03/2013;0,2133;
07/03/2013;0,1988;
08/03/2013;0,2792;
09/03/2013;0,2621;
10/03/2013;0,1988;
11/03/2013;0,2458;
12/03/2013;0,2725;
13/03/2013;0,2621;
14/03/2013;0,2683;
15/03/2013;0,125;
16/03/2013;0,2942;
17/03/2013;0,1;
18/03/2013;0,1;
19/03/2013;0,1525;
20/03/2013;0,2683;
21/03/2013;0,2942;
22/03/2013;0,2621;
23/03/2013;0,2833;
24/03/2013;0,2942;
25/03/2013;0,0367;
26/03/2013;0,0633;
27/03/2013;0,0317;
28/03/2013;0,2621;
29/03/2013;0,1988;
30/03/2013;0,2458;
31/03/2013;0,2725;
01/04/2013;0,2621;
02/04/2013;0,2042;
03/04/2013;0,2792;
04/04/2013;0,1729;
05/04/2013;0,2133;
06/04/2013;0,2621;
07/04/2013;0,2133;
08/04/2013;0,1988;
09/04/2013;0,2792;
10/04/2013;0,1988;
11/04/2013;0,2458;
12/04/2013;1;0
13/04/2013;0,1867;
14/04/2013;0,2533;
15/04/2013;0,1746;
16/04/2013;0,1746;
17/04/2013;0,2125;
18/04/2013;0,2458;
19/04/2013;0,0521;
20/04/2013;0,5;
21/04/2013;0,2;
22/04/2013;0,2;
23/04/2013;0,2958;
24/04/2013;0,2;
25/04/2013;0,1988;
26/04/2013;0,2458;
27/04/2013;0,2725;
28/04/2013;0,2621;
29/04/2013;0,0554;
30/04/2013;0,1075;
01/05/2013;0,2763;
02/05/2013;0,2067;
03/05/2013;0,0521;
04/05/2013;0,2067;
05/05/2013;0,2067;
06/05/2013;0,2;
07/05/2013;0,2292;
08/05/2013;0,2958;
09/05/2013;0,2;
10/05/2013;0,2;
11/05/2013;0,175;
12/05/2013;0,2067;
13/05/2013;0,2363;
14/05/2013;0,2408;
15/05/2013;0,2092;
16/05/2013;0,2533;
17/05/2013;0,2096;
18/05/2013;0,2421;
19/05/2013;0,2125;
20/05/2013;0,2125;
21/05/2013;0,2542;
22/05/2013;0,2221;
23/05/2013;0,1883;
24/05/2013;0,28;
25/05/2013;0,2688;
26/05/2013;0,2525;
27/05/2013;0,2538;
28/05/2013;0,2654;
29/05/2013;0,2638;
30/05/2013;0,2533;
31/05/2013;0,1746;
01/06/2013;0,2125;
02/06/2013;0,4167;
03/06/2013;0,2954;
04/06/2013;0,2954;
05/06/2013;0,3517;
06/06/2013;0,2954;
07/06/2013;0,4071;
08/06/2013;0,4508;
09/06/2013;0,3288;
10/06/2013;0,41;
11/06/2013;0,2125;
12/06/2013;0,3425;
13/06/2013;0,2954;
14/06/2013;0,2954;
15/06/2013;0,3071;
16/06/2013;0,3279;
17/06/2013;0,3208;
18/06/2013;0,2525;
19/06/2013;0,19;
20/06/2013;0,2609;
21/06/2013;0,3975;
22/06/2013;0,2725;
23/06/2013;0,3283;
24/06/2013;0,3325;
25/06/2013;0,5342;
26/06/2013;0,2458;
27/06/2013;1;0
28/06/2013;1;0
29/06/2013;0,79;
30/06/2013;0,2683;
01/07/2013;0,2458;
02/07/2013;0,2621;
03/07/2013;0,1988;
04/07/2013;0,2458;
05/07/2013;0,0367;
06/07/2013;1;0
07/07/2013;0,2175;
08/07/2013;0,2621;
09/07/2013;0,1988;
10/07/2013;0,2458;
11/07/2013;0,2725;
12/07/2013;0,2621;
13/07/2013;0,2042;
14/07/2013;0,2792;
15/07/2013;0,1729;
16/07/2013;0,2133;
17/07/2013;0,2621;
18/07/2013;0,2133;
19/07/2013;0,1988;
20/07/2013;0,2792;
21/07/2013;0,1988;
22/07/2013;0,2458;
23/07/2013;1;0
24/07/2013;0,1867;
25/07/2013;0,2533;
26/07/2013;0,1746;
27/07/2013;0,1746;
28/07/2013;0,2125;
29/07/2013;0,2458;
30/07/2013;0,1746;
31/07/2013;0,1546;
01/08/2013;0,225;
02/08/2013;0,2;
03/08/2013;0,2958;
04/08/2013;0,2;
05/08/2013;0,2571;
06/08/2013;0,2458;
07/08/2013;0,2725;
08/08/2013;0,2621;
09/08/2013;0,0554;
10/08/2013;0,235;
11/08/2013;0,2763;
12/08/2013;0,2067;
13/08/2013;0,1667;
14/08/2013;0,1588;
15/08/2013;0,145;
16/08/2013;0,2;
17/08/2013;0,2292;
18/08/2013;0,2271;
19/08/2013;0,2;
20/08/2013;0,2;
21/08/2013;0,35;
22/08/2013;1;0
23/08/2013;0,2067;
24/08/2013;0,1508;
25/08/2013;0,2217;
26/08/2013;0,2533;
27/08/2013;0,1746;
28/08/2013;0,1863;
29/08/2013;0,2125;
30/08/2013;0,2125;
31/08/2013;0,19;
01/09/2013;0,19;
02/09/2013;0,1508;
03/09/2013;0,2225;
04/09/2013;0,2367;
05/09/2013;0,2525;
06/09/2013;0,2067;
07/09/2013;0,1038;
08/09/2013;0,1867;
09/09/2013;0,2533;
10/09/2013;0,1746;
11/09/2013;0,2125;
12/09/2013;0,2125;
13/09/2013;0,19;
14/09/2013;0,19;
15/09/2013;0,1508;
16/09/2013;0,2225;
17/09/2013;0,2367;
18/09/2013;0,2525;
19/09/2013;0,2533;
20/09/2013;0,1746;
21/09/2013;0,2125;
22/09/2013;0,2125;
23/09/2013;0,19;
24/09/2013;0,1508;
25/09/2013;0,2225;
26/09/2013;0,2367;
27/09/2013;0,2525;
28/09/2013;0,2533;
29/09/2013;0,2237;
30/09/2013;0,2117;
01/10/2013;0,1133;
02/10/2013;0,2133;
03/10/2013;0,2133;
04/10/2013;0,2792;
05/10/2013;0,2042;
06/10/2013;0,1729;
07/10/2013;0,2133;
08/10/2013;0,2133;
09/10/2013;0,2042;
10/10/2013;0,2792;
11/10/2013;0,1729;
12/10/2013;0,2133;
13/10/2013;0,2621;
14/10/2013;0,2133;
15/10/2013;0,1988;
16/10/2013;0,2792;
17/10/2013;0,2621;
18/10/2013;0,1988;
19/10/2013;0,2458;
20/10/2013;0,2725;
21/10/2013;0,2621;
22/10/2013;0,2683;
23/10/2013;0,1642;
24/10/2013;0,2458;
25/10/2013;0,1417;
26/10/2013;0,0921;
27/10/2013;0,6963;
28/10/2013;0,2417;
29/10/2013;0,0888;
30/10/2013;0,2354;
31/10/2013;0,19;
01/11/2013;0,19;
02/11/2013;0,1508;
03/11/2013;0,2225;
04/11/2013;0,2367;
05/11/2013;0,2492;
06/11/2013;0,2033;
07/11/2013;0,12;
08/11/2013;0,1867;
09/11/2013;0,2533;
10/11/2013;0,1746;
11/11/2013;0,1746;
12/11/2013;0,2125;
13/11/2013;0,2125;
14/11/2013;0,19;
15/11/2013;0,19;
16/11/2013;0,1508;
17/11/2013;0,2225;
18/11/2013;0,2367;
19/11/2013;0,2525;
20/11/2013;0,2067;
21/11/2013;0,1038;
22/11/2013;0,1867;
23/11/2013;0,2525;
24/11/2013;0,2067;
25/11/2013;0,1038;
26/11/2013;0,1867;
27/11/2013;0,2354;
28/11/2013;0,19;
29/11/2013;0,19;
30/11/2013;0,1508;
01/12/2013;0,2225;
02/12/2013;0,2367;
03/12/2013;0,2525;
04/12/2013;0,2067;
05/12/2013;0,1038;
06/12/2013;0,1867;
07/12/2013;0,2533;
