januari;;februari;;maret;;april;;mei;;juni;;juli;;agustus;;september;;oktober;;november;;desember;
tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang;tanggal;tinggi gelombang
01/01/2013;0,1000;01/02/2013;0,2000;01/03/2013;0,2042;01/04/2013;0,2621;01/05/2013;0,2763;01/06/2013;0,2125;01/07/2013;0,2458;01/08/2013;0,2250;01/09/2013;0,1900;01/10/2013;0,1133;01/11/2013;0,1900;01/12/2013;0,2225
02/01/2013;0,0892;02/02/2013;0,2000;02/03/2013;0,2792;02/04/2013;0,2042;02/05/2013;0,2067;02/06/2013;0,4167;02/07/2013;0,2621;02/08/2013;0,2000;02/09/2013;0,1508;02/10/2013;0,2133;02/11/2013;0,1508;02/12/2013;0,2367
03/01/2013;0,0475;03/02/2013;0,1250;03/03/2013;0,1729;03/04/2013;0,2792;03/05/2013;0,0521;03/06/2013;0,2954;03/07/2013;0,1988;03/08/2013;0,2958;03/09/2013;0,2225;03/10/2013;0,2133;03/11/2013;0,2225;03/12/2013;0,2525
04/01/2013;0,1371;04/02/2013;0,1000;04/03/2013;0,2133;04/04/2013;0,1729;04/05/2013;0,2067;04/06/2013;0,2954;04/07/2013;0,2458;04/08/2013;0,2000;04/09/2013;0,2367;04/10/2013;0,2792;04/11/2013;0,2367;04/12/2013;0,2067
05/01/2013;0,1467;05/02/2013;0,1000;05/03/2013;0,2621;05/04/2013;0,2133;05/05/2013;0,2067;05/06/2013;0,3517;05/07/2013;0,0367;05/08/2013;0,2571;05/09/2013;0,2525;05/10/2013;0,2042;05/11/2013;0,2492;05/12/2013;0,1038
06/01/2013;0,0475;06/02/2013;0,0625;06/03/2013;0,2133;06/04/2013;0,2621;06/05/2013;0,2000;06/06/2013;0,2954;06/07/2013;1,0000;06/08/2013;0,2458;06/09/2013;0,2067;06/10/2013;0,1729;06/11/2013;0,2033;06/12/2013;0,1867
07/01/2013;0,1850;07/02/2013;0,0167;07/03/2013;0,1988;07/04/2013;0,2133;07/05/2013;0,2292;07/06/2013;0,4071;07/07/2013;0,2175;07/08/2013;0,2725;07/09/2013;0,1038;07/10/2013;0,2133;07/11/2013;0,1200;07/12/2013;0,2533
08/01/2013;0,1479;08/02/2013;0,1058;08/03/2013;0,2792;08/04/2013;0,1988;08/05/2013;0,2958;08/06/2013;0,4508;08/07/2013;0,2621;08/08/2013;0,2621;08/09/2013;0,1867;08/10/2013;0,2133;08/11/2013;0,1867;08/12/2013;0,1746
09/01/2013;0,1113;09/02/2013;0,1058;09/03/2013;0,2621;09/04/2013;0,2792;09/05/2013;0,2000;09/06/2013;0,3288;09/07/2013;0,1988;09/08/2013;0,0554;09/09/2013;0,2533;09/10/2013;0,2042;09/11/2013;0,2533;09/12/2013;0,1746
10/01/2013;0,0475;10/02/2013;0,1058;10/03/2013;0,1988;10/04/2013;0,1988;10/05/2013;0,2000;10/06/2013;0,4100;10/07/2013;0,2458;10/08/2013;0,2350;10/09/2013;0,1746;10/10/2013;0,2792;10/11/2013;0,1746;10/12/2013;0,2125
11/01/2013;0,0946;11/02/2013;0,1058;11/03/2013;0,2458;11/04/2013;0,2458;11/05/2013;0,1750;11/06/2013;0,2125;11/07/2013;0,2725;11/08/2013;0,2763;11/09/2013;0,2125;11/10/2013;0,1729;11/11/2013;0,1746;11/12/2013;0,2125
12/01/2013;0,1317;12/02/2013;0,1058;12/03/2013;0,2725;12/04/2013;1,0000;12/05/2013;0,2067;12/06/2013;0,3425;12/07/2013;0,2621;12/08/2013;0,2067;12/09/2013;0,2125;12/10/2013;0,2133;12/11/2013;0,2125;12/12/2013;0,1900
13/01/2013;0,2625;13/02/2013;0,0917;13/03/2013;0,2621;13/04/2013;0,1867;13/05/2013;0,2363;13/06/2013;0,2954;13/07/2013;0,2042;13/08/2013;0,1667;13/09/2013;0,1900;13/10/2013;0,2621;13/11/2013;0,2125;13/12/2013;0,1900
